## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
M00home,"SED MAGNA
IPSUM FAUCIBUS",home,Donec eget ex magna. Interdum et malesuada fames ac ante ipsum primis in faucibus.,https://udupa.000webhostapp.com/images/pic02.jpg,1,https://udupa.000webhostapp.com/images/pic02.jpg,1,,,,,,,,,,,,
M00Generic,"PRIMIS EGET
IMPERDIET LOREM",udu-Men:Generic,"Aenean ornare velit lacus varius enim ullamcorper proin aliquam
facilisis ante sed etiam magna",https://udupa.000webhostapp.com/images/pic03.jpg,2,https://udupa.000webhostapp.com/images/pic03.jpg,2,,,,,,,,,,,,
M00Elements,"ANTE MATTIS
INTERDUM DOLOR",Elements, Pellentesque venenatis dolor imperdiet dolor mattis sagittis magna etiam.,https://udupa.000webhostapp.com/images/pic04.jpg,3,https://udupa.000webhostapp.com/images/pic04.jpg,3,,,,,,,,,,,,
abidjanwater,Abidjan Water,equipment equipment:swimming,Wonderful swim trunks,https://udupa.000webhostapp.com/images/center-bg-image.jpg,38.9,/en/equipment/swimming/abidjan-water.html,31,15.56,,,,,,,,,,,
baffinsnow,Baffin Snow,equipment equipment:skiing,Great Beanie,https://udupa.000webhostapp.com/images/center-bg-image.jpg,38,/en/equipment/skiing/baffin-snow.html,903,7.6,,,,,,,,,,,
banffsnow,Banff Snow,equipment equipment:skiing,Best boots on the market,https://udupa.000webhostapp.com/images/center-bg-image.jpg,220,/en/equipment/skiing/banff-snow.html,982,88,,,,,,,,,,,
blackcombsnow,Blackcomb Snow,equipment equipment:skiing,Never have cold hands again,https://udupa.000webhostapp.com/images/center-bg-image.jpg,75,/en/equipment/running/bora-bora.html,103,75,,,,,,,,,,,
borabora,Bora Bora,equipment equipment:running women:shirts women,Superb black tank,https://udupa.000webhostapp.com/images/center-bg-image.jpg,38,/en/equipment/running/bora-bora.html,444,15.2,,,,,,,,,,,
brazzaville,Brazzaville,equipment equipment:swimming,Flattering style,https://udupa.000webhostapp.com/images/center-bg-image.jpg,52,/en/equipment/swimming/brazzaville.html,520,10.4,,,,,,,,,,,
cajamara,Cajamara,equipment equipment:biking,Great Mountain Bike,https://udupa.000webhostapp.com/images/center-bg-image.jpg,610,/en/equipment/biking/cajamara.html,939,61,,,,,,,,,,,
calgarywinter,Calgary Winter,women equipment equipment:running women:coats,Warm coat,https://udupa.000webhostapp.com/images/center-bg-image.jpg,280,/en/women/coats/calgary-winter.html,282,112,,,,,,,,,,,
cuzco,Cuzco,equipment equipment:hiking,Best hiking backpack,https://udupa.000webhostapp.com/images/center-bg-image.jpg,210,/en/equipment/hiking/cuzco.html,804,63,,,,,,,,,,,
